start;end;info
2018-07-12 06:15:00;2018-07-12 07:15:00;flushing
2020-06-07 12:35:00;2020-06-07 23:50:00;mudanerottimien puhdistus
2020-06-09 07:30:00;2020-06-09 09:20:00;pumpun huoltoa
2020-06-21 15:00:00;2020-06-21 16:10:00;mudanerottimien puhdistus
2020-08-03 06:25:00;2020-08-03 17:28:00;flushing
2020-08-24 12:30:00;2020-08-26 10:05:00;bubbles
2020-08-25 07:45:00;2020-08-25 09:25:00;mudanerottimien puhdistus
2020-09-06 09:50:00;2020-09-06 10:55:00;mudanerottimien puhdistus
2021-01-26 07:00:00;2021-01-26 08:29:00;bubbles
2021-10-01 10:00:00;2021-10-01 11:00:00;mudanerottimien puhdistus
2021-10-11 11:30:00;2021-10-11 13:15:00;mudanerottimien puhdistus
2021-12-16 08:20:00;2021-12-16 10:20:00;mudanerottimien puhdistus
2022-03-28 06:21:00;2022-03-28 08:18:00;bubbles
2022-04-11 12:20:00;2022-04-11 13:46:00;flushing
2022-09-04 06:00:00;2022-09-05 11:00:00;testejä ym IFCBden vertailua varten
